Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
ANTH,270,606,13336,LIVING MEDICINE,Recitation,3,Alumni,308,Th,17:00 - 17:50,"Lowe,Regina Marie","GR1 SS, "
ANTH,270,607,13337,LIVING MEDICINE,Recitation,3,Alumni,308,F,12:20 - 13:10,"Clingenpeel,Kaitlyn Anneliese",
ANTH,270,608,13338,LIVING MEDICINE,Recitation,3,Alumni,308,F,13:25 - 14:15,"Lowe,Regina Marie","GR1 SS, "
ANTH,270,609,13339,LIVING MEDICINE,Recitation,3,Alumni,308,F,14:30 - 15:20,"Lowe,Regina Marie","GR1 SS, "
ANTH,294,1,10057,ANTH PERSP ON SOC & CULTURE ,Lecture,3,Caldwell,103,TuTh,12:30 - 13:45,"Bitter,Joella ","SS, "
ANTH,295,36,6141,RES IN ANTH II,Lecture,3-Jan,TBA,TBA,TBA,TBA,Staff ,
ANTH,298,1,3101,BIO ANTH THEORY AND PRACTICE ,Lecture,3,Alumni,203,TuTh,15:30 - 16:45,"Hilton,Charles Edward","PL, "
ANTH,303,1,12914,NATIVE LANGS OF AMER,Lecture,3,Dey Hall,304,MWF,14:30 - 15:20,"MORA-MARIN,DAVID F ",
ANTH,315,1,5235,HUMAN GENETICS,Lecture,3,Hanes Art Center ,215,TuTh,12:30 - 13:45,"Hilton,Charles Edward","GR1 PL, "
ANTH,319,601,13382,GLOBAL HEALTH,Recitation,3,Alumni,308,M,08:00 - 08:50,"Griffin,Jacob Spencer","SS, GL, "
ANTH,319,602,13383,GLOBAL HEALTH,Recitation,3,Alumni,205,M,09:05 - 09:55,"Griffin,Jacob Spencer","SS, GL, "
ANTH,319,603,13384,GLOBAL HEALTH,Recitation,3,Alumni,205,M,11:15 - 12:05,"Griffin,Jacob Spencer","SS, GL, "
ANTH,319,604,13385,GLOBAL HEALTH,Recitation,3,Alumni,205,M,13:25 - 14:15,"Saravanan,Preethi","SS, GL, "
ANTH,319,605,13386,GLOBAL HEALTH,Recitation,3,Alumni,205,M,14:30 - 15:20,"Saravanan,Preethi","SS, GL, "
ANTH,319,606,13387,GLOBAL HEALTH,Recitation,3,Alumni,205,M,15:35 - 16:25,"Saravanan,Preethi","SS, GL, "
ANTH,319,611,13392,GLOBAL HEALTH,Recitation,3,Alumni,205,W,11:15 - 12:05,"Slocum,Diane Lynn","SS, GL, "
ANTH,319,612,13393,GLOBAL HEALTH,Recitation,3,Hanes Art Center ,118,W,12:20 - 13:10,"Slocum,Diane Lynn","SS, GL, "
ANTH,319,615,13396,GLOBAL HEALTH,Recitation,3,Alumni,205,F,11:15 - 12:05,"Slocum,Diane Lynn","SS, GL, "
ANTH,326,1,11016,PRACTICING MED ANTHROPOLOGY ,Lecture,3,New West,103,TuTh,09:30 - 10:45,"KING,MARTHA E ",
ANTH,390,1,11057,SPECIAL TOPICS: MEDICAL ANTH ,Lecture,3,Alumni,205,MW,16:40 - 17:55,"Sadruddin,Aalyia ",
ANTH,390,5,13273,SPECIAL TOPICS: MEDICAL ANTH ,Lecture,3,Alumni,203,TuTh,11:00 - 12:15,"Smith-Nonini,Sandy C. ",
ANTH,393,1,4973,ANTH INTERNSHIP,Lecture,12-Jan,TBA,TBA,TBA,TBA,"RIVKIN-FISH,MICHELE R ",
ANTH,393,42,5739,ANTH INTERNSHIP,Lecture,12-Jan,TBA,TBA,TBA,TBA,Staff ,
ANTH,395,1,10363,RESEARCH IN ANTHROPOLOGY,Lecture,6-Jan,TBA,TBA,W,16:30 - 19:00,"COLLOREDO-MANSFELD,RUDOLF J ",
