Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AMST,235,603,9900,NATIVE AMERICA 20TH C,Recitation,3,Wilson,217,F,11:15 - 12:05," McDonnell,Emily Kaitlin","HS- Historical Analysis, NA- North Atlantic World, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality Combined Section ID: 1109(amst/hist235.603) - HIST 235(#9963)"
AMST,235,604,9901,NATIVE AMERICA 20TH C,Recitation,3,Phillips,212,F,12:20 - 13:10," McDonnell,Emily Kaitlin","HS- Historical Analysis, NA- North Atlantic World, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality Combined Section ID: 1110(amst/hist235.604) - HIST 235(#9964)"
AMST,253,1,13419,JEWISH WOMEN IN AMERICA,Lecture,3,Murphey,204,TuTh,09:30 - 10:45,"Hinderliter,Jillian Michele",
AMST,265,1,15727,THE BLACK INTERIOR,Lecture,3,Greenlaw,318,TuTh,11:00 - 12:15," Randolph,Antonia Maria","LA- Literary Arts, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA - Power, Difference, and Inequality"
AMST,336,2,14033,NATIVE AMERICANS IN FILM,Lecture,3,Hanes Hall,112,W,15:35 - 18:35," COBB,DANIEL M","GR1 VP- Visual or Performing Arts, NA- North Atlantic World, US- U.S. Diversity"
AMST,375,1,9907,SOUTHERN FOOD STUDIES,Lecture,3,Peabody,3050,TuTh,14:00 - 15:15," Alexander,Kelly","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Power, Difference, and Inequality"
AMST,396,1,6093,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"Randolph,Antonia Maria ",
AMST,396,2,10590,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"Alexander,Kelly ",
AMST,396,3,10614,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
AMST,396,4,12434,INDEP STDY AMST,Lecture,3,TBA,TBA,TBA,TBA,"HOLLAND,SHARON PATRICIA ",
